Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Администратор-кассир,60000— 100000 руб.,"['составление отчетов', 'ведение кассовой документации', 'общение с клиентами', 'кассовая дисциплина', 'продажа услуг', 'ведение кассовых операций']",['Студентам'],Индивидуальный предприниматель КИМ ДЕНИС,[],г Санкт-Петербург,Санкт-Петербург,Кассир,,опыт работы Менее года,образование любое,https://spb.rabota.ru/vacancy/49995190/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор в Школу Шахмат,15000— 35000 руб.,"['ответственность', 'коммуникабельность', 'грамотная речь', 'консультирование клиентов', 'прием входящих звонков', 'работа с документами', 'встреча гостей', 'исходящие звонки']",['Студентам'],Школа Шахмат T-chess,"['Чернышевская,', 'Площадь Восстания']","Чернышевская, Площадь Восстания,г Санкт-Петербург, ул Радищева, д 35",Санкт-Петербург,Администратор,Администратор фитнес-клуба,опыт работы от 1 года,образование высшее,https://spb.rabota.ru/vacancy/48385618/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по работе с клиентами в Студию танцев,45000— 50000 руб.,['ведение клиентской базы'],[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ИБРАГИМОВ РУСЛАН ИБРАГИМОВИЧ,[],"г Санкт-Петербург, ул Оптиков, д 51 к 1",Санкт-Петербург,,,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/53771524/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Педагог керамист,15000— 30000 руб.,"['ответственность', 'работа с детьми', 'педагогика', 'организация досуга', 'детская психология', 'групповые занятия', 'преподавание ИЗО']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТРУСКАЛО ТАТЬЯНА АЛЕКСАНДРОВНА,['Электросила'],"Электросила,г Санкт-Петербург, ул Благодатная, д 51",Санкт-Петербург,Работа в сфере образования,Педагог,опыт работы не имеет значения,образование неполное высшее,https://spb.rabota.ru/vacancy/50229316/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Водитель на ГАЗель,от 70000 руб.,['перевозка грузов'],[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СТУРОВ ВЛАДИМИР ВЛАДИМИРОВИЧ,[],г Санкт-Петербург,Санкт-Петербург,Работа на транспорте,Водитель,опыт работы от 2 лет,образование любое,https://spb.rabota.ru/vacancy/50174386/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор ресторана,90000— 120000 руб.,"['ответственность', 'проведение банкетов', 'контроль работы персонала', 'организация работы ресторана']",[],"ООО ""ЛЕЛЬ""",[],"Ленинградская обл, Выборгский р-н, тер Высокинская, Окунёвый проезд, д 4",Санкт-Петербург,,Администратор,опыт работы от 3 лет,образование любое,https://spb.rabota.ru/vacancy/48881373/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по продажам,70000— 140000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'поиск и привлечение клиентов', 'развитие клиентской базы', 'ведение клиентской базы', 'активные продажи', 'поддержание клиентской базы', 'общение по телефону', 'Работа в команде']",[],"ООО ""РЕАЛТРЕЙД""",['Парнас'],"Парнас,г Санкт-Петербург, 6-й Верхний пер",Санкт-Петербург,Работа в торговле,,опыт работы от 3 лет,образование любое,https://spb.rabota.ru/vacancy/48323271/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Водитель категории C,90000— 130000 руб.,['техническое обслуживание автомобилей'],['Пенсионерам'],"ООО ""АВТОРЕГИОН""",['Пролетарская'],"Пролетарская,г Санкт-Петербург, Октябрьская наб, д 31",Санкт-Петербург,Работа на транспорте,Водитель,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/52598134/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Ассистент ветеринарного врача,от 40000 руб.,[],[],ООО Лаки,['Гражданский проспект'],"Гражданский проспект,г Санкт-Петербург, ул Учительская, д 14 к 2",Санкт-Петербург,Работа в сфере медицины,Врач,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/52259087/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Повар (горячий цех),от 80000 руб.,['приготовление горячих блюд'],[],"ООО ""ГУРМЕНЬ""",[],"г Санкт-Петербург, пр-кт Тореза, д 77 к 1",Санкт-Петербург,Работа в ресторанах,Повар,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/51400221/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Ассистент менеджера в отдел продаж,35000— 75000 руб.,"['ответственность', 'умение работать с большим объемом информации', 'работа с поставщиками', '1С', 'пользователь ПК', 'excel', 'word']",[],"ООО ""СИОН""","['Парнас,', 'Проспект Просвещения']","Парнас, Проспект Просвещения,г Санкт-Петербург, ул Домостроительная, д 4",Санкт-Петербург,Работа в торговле,Менеджер по продажам,опыт работы не имеет значения,образование высшее,https://spb.rabota.ru/vacancy/49760971/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Флорист / Продавец в цветочный магазин,45000— 60000 руб.,"['внимательность', 'доброжелательность', 'консультирование клиентов', 'работа на кассе', 'продажи', 'уборка рабочей зоны', 'флористические техники']",['Студентам'],"ООО ""СИ ВИС ПАКЭМ""","['Московская,', 'Звездная']","Московская, Звездная,г Санкт-Петербург, ул Орджоникидзе, д 27",Санкт-Петербург,Флорист,Продавец цветов,опыт работы от 1 года,образование среднее профессиональное,https://spb.rabota.ru/vacancy/49610872/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Офисный уборщик,от 35000 руб.,"['влажная уборка', 'сухая уборка', 'уборка кабинетов', 'вынос мусора', 'поддержание чистоты и порядка']","['Пенсионерам', 'Студентам']","ООО ""РОСМЕД ПЛЮС""",['Проспект Ветеранов'],"Проспект Ветеранов,г Санкт-Петербург, пр-кт Ветеранов, д 147 литера Б",Санкт-Петербург,Работа в сфере бытовых услуг,Уборщица,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/49493450/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Специалист по работе с клиентами,60000 руб.,"['умение работать в режиме многозадачности', 'стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'клиентоориентированность', 'обучаемость', 'подготовка коммерческих предложений', 'ведение заказов', 'сопровождение сделки', 'Работа с большим объемом информации']",[],"ООО ""ТД ПАРУС""",['Автово'],"Автово,г Санкт-Петербург, ул Краснопутиловская, д 5",Санкт-Петербург,,,опыт работы от 1 года,образование любое,https://spb.rabota.ru/vacancy/48633123/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Продавец-консультант,45000— 80000 руб.,"['ответственность', 'обучаемость', 'общение с клиентами', 'консультирование покупателей', 'умение продавать', 'прием товар']",[],"ООО ""МИЛОПТ""",['Беговая'],"Беговая,г Санкт-Петербург, Приморский пр-кт",Санкт-Петербург,Работа в торговле,Продавец,опыт работы не имеет значения,образование любое,https://spb.rabota.ru/vacancy/47948938/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5
