Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Продавец,от 65000 руб.,"['пунктуальность', 'аккуратность', 'внимательность', 'стрессоустойчивость', 'общение с клиентами', 'выкладка товара', 'работа в торговом зале', 'умение продавать', 'прием товар']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПЛОТНИКОВА АНАСТАСИЯ МИХАЙЛОВНА,"['Выхино,', 'Новокосино,', 'Лермонтовский проспект,', 'Лухмановская,', 'Улица Дмитриевского,', 'Косино,', 'Выхино,', 'Косино,', 'Ухтомская,', 'Реутово']","Выхино, Новокосино, Лермонтовский проспект, Лухмановская, Улица Дмитриевского, Косино, Выхино, Косино, Ухтомская, Реутово,г Москва, ул Салтыковская, д 6/2 к 1",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/50046696/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,65000,
Комплектовщик,73000— 130000 руб.,"['прием товара', 'отгрузка товара', 'комплектация товара', 'упаковка товара']",Без тега,"ООО ""МАСТЕРОВИК""","['Южная,', 'Пражская']","Южная, Пражская,г Москва, ул Дорожная, д 3 к 11",Москва,Работа на складах,,без опыта,любое,https://www.rabota.ru/vacancy/50010541/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,73000,130000
Водитель эвакуатора и мини-экскаватора,до 150000 руб.,"['перевозка грузов', 'бурение ямобуром']",['Пенсионерам'],ООО СтройТехника,['Молодежная'],"Молодежная,г Москва, ул Молодогвардейская, д 58",Москва,Работа на транспорте,Водитель,без опыта,любое,https://www.rabota.ru/vacancy/49977821/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,150000
Продавец мороженого,по договоренности,нет,['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЗАМАНОВ ГААБИЛЬ РУСЛАНОВИЧ,"['Площадь Революции,', 'Лубянка']","Площадь Революции, Лубянка,г Москва, ул Никольская, д 10",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/49917970/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Бухгалтер,до 90000 руб.,"['ведение первичной документации', 'учет товарно-материальных ценностей', 'ведение книги покупок, книги продаж']",Без тега,"НО ""ФОНД РАЗВИТИЯ ТЕННИСА В РОССИИ""",['Речной вокзал'],"Речной вокзал,г Москва, Ленинградское шоссе, д 47 стр 2",Москва,Работа в бухгалтерии,,от 3 лет,высшее,https://www.rabota.ru/vacancy/49735019/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,90000
Инспектор по кадрам,до 90000 руб.,['кадровый учет'],Без тега,"ООО ""ФИНСИТИ""","['Электрозаводская,', 'Электрозаводская']","Электрозаводская, Электрозаводская,г Москва, метро Электрозаводская (Арбатско-Покровская)",Москва,,Инспектор,от 3 лет,любое,https://www.rabota.ru/vacancy/49688320/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,90000
Водитель-экспедитор категории B,70000— 80000 руб.,"['правила дорожного движения', 'работа с сопроводительной документацией', 'спокойный стиль вождения', 'содержание автомобиля в чистоте']","['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Индивидуальный предприниматель Вячеслав Анатольевич,"['Рязанский проспект,', 'Кузьминки,', 'Текстильщики,', 'Стахановская']","Рязанский проспект, Кузьминки, Текстильщики, Стахановская ,г Москва, ул Грайвороновская, д 23",Москва,Экспедитор,Водитель-экспедитор,без опыта,любое,https://www.rabota.ru/vacancy/49629159/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,80000
Рабочий склада,90000— 100000 руб.,нет,Без тега,"ООО ""АГРОПОЛИМЕР""",['Яхромская'],"Яхромская,г Москва, Дмитровское шоссе, д 100 к 2",Москва,Работа на складах,Работник склада,без опыта,любое,https://www.rabota.ru/vacancy/49475708/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,100000
Менеджер по продажам b2b,по договоренности,"['поиск и привлечение клиентов', '""холодные"" звонки', 'активные продажи', 'подготовка коммерческих предложений', 'сопровождение сделки', 'поддержание клиентской базы']","['Студентам', 'Людям с инвалидностью']",Индивидуальный предприниматель КОСАРЕВА ДАРЬЯ МИХАЙЛОВНА,"['Белорусская,', 'Белорусская']","Белорусская, Белорусская,г Москва, ул Бутырский Вал, д 10",Москва,Работа в торговле,Менеджер по продажам,от 1 года,высшее,https://www.rabota.ru/vacancy/48859405/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Сборщик мебели,55000— 80000 руб.,"['чтение чертежей', 'сбор заказов', 'сборка корпусной мебели', 'работа ручным инструментом', 'присадка', 'сборка изделий по чертежам', 'сборка нестандартной мебели', 'сборка шкафов-купе', 'упаковка мебели']",['Пенсионерам'],"ООО ""АЛЬМЕТА""","['Новогиреево,', 'Новогиреево']","Новогиреево, Новогиреево,г Москва, ул Мартеновская, д 36 стр 4",Москва,,Сборщик,без опыта,любое,https://www.rabota.ru/vacancy/48783272/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,80000
Водитель-курьер со своим автомобилем,30000— 90000 руб.,"['ответственность', 'перевозка грузов', 'знание Москвы и Московской области', 'работа с сопроводительной документацией', 'доставка документов', 'доставка заказов']",['Пенсионерам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ХИСАНОВА ЛЮДМИЛА ВЛАДИМИРОВНА,['Красносельская'],"Красносельская,г Москва, ул Лобачика, д 11",Москва,Работа в сфере доставки,Курьер,без опыта,любое,https://www.rabota.ru/vacancy/48726660/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,90000
Начинающий специалист по недвижимости (риелтор-стажер),от 185000 руб.,"['ответственность', 'пунктуальность', 'целеустремленность', 'коммуникабельность', 'грамотная речь', 'вежливость', 'ведение переговоров', 'уверенный пользователь ПК']",Без тега,"ООО ""АН ""НА ЯУЗЕ""",['Электрозаводская'],"Электрозаводская,г Москва, Семеновская наб, д 2/1",Москва,Работа в сфере недвижимости,Риэлтор,без опыта,любое,https://www.rabota.ru/vacancy/48720050/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,185000,
Швея-моторист/ка,60000— 100000 руб.,"['ответственность', 'аккуратность', 'обучаемость', 'технологии швейного производства']",Без тега,"ООО ""Хозлавочка""","['Новогиреево,', 'Перово']","Новогиреево, Перово,г Москва, ул Мартеновская, д 38 стр 2",Москва,Работа в сфере бытовых услуг,Швея,без опыта,среднее,https://www.rabota.ru/vacancy/48200627/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,100000
Администратор спа - салона,75000— 150000 руб.,"['пунктуальность', 'коммуникабельность', 'грамотная речь', 'обучаемость', 'доброжелательность', 'консультирование клиентов', 'общение с клиентами', 'запись на прием', 'продажа услуг', 'ведение клиентской базы', 'выполнение плана продаж', 'регистрация входящей и исходящей документации', 'продажи продукта / услуги', 'общение по телефону', 'умение продавать', 'поддержание чистоты в зале', 'Yclients']",Без тега,ООО Руай Тай,['Улица 1905 года'],"Улица 1905 года,г Москва, ул Ходынская, д 2",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/48175804/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,75000,150000
Продавец в магазин разливного пива,85000— 120000 руб.,"['ответственность', 'пунктуальность', 'коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'обучаемость', 'доброжелательность', 'вежливость', 'консультирование клиентов', 'работа на кассе', 'проведение инвентаризаций', 'общение с клиентами', 'выкладка товара', 'работа в торговом зале', 'обслуживание покупателей', 'прием товара', 'работа с клиентами', 'консультирование', 'консультирование покупателей', 'участие в проведение инвентаризаций', 'умение продавать', 'демонстрация товара', 'пользователь ПК', 'Работа в команде']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КАНЯШИН ДМИТРИЙ ВАСИЛЬЕВИЧ,['Братиславская'],"Братиславская,г Москва",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/47920270/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,85000,120000
Администратор,60000— 75000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'ведение документооборота', 'консультирование клиентов', 'прием входящих звонков', 'продажи', 'обеспечение жизнедеятельности офиса', 'работа с клиентами', 'пользователь ПК']",Без тега,Всё для слуха,"['Комсомольская,', 'Красносельская']","Комсомольская, Красносельская,г Москва, ул Краснопрудная, д 12/1 стр 1",Москва,Администратор,Администратор пункта выдачи заказов,от 1 года,высшее,https://www.rabota.ru/vacancy/47117834/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,75000
Грузчик,40000— 100000 руб.,"['погрузочно-разгрузочные работы', 'монтажные работы', 'упаковка', 'сборка мебели', 'Грузчик', 'сборка тренажеров']",['Студентам'],"ООО ""Сила Тяжести""",['Угрешская'],"Угрешская,г Москва, 3-й Угрешский проезд, д 6 стр 5",Москва,Работа на складах,,без опыта,любое,https://www.rabota.ru/vacancy/46919457/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,100000
Помощник руководителя,50000— 100000 руб.,"['исполнительность', 'стрессоустойчивость', 'юридическая экспертиза', 'английский язык']",['Быстрый отклик'],"АО ""А771""",['Красные ворота'],"Красные ворота,г Москва, ул Садовая-Черногрязская, д 13/3 к 1",Москва,Работа в офисе,Секретарь,от 3 лет,высшее,https://www.rabota.ru/vacancy/46678284/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,100000
Швея в цех,60000— 85000 руб.,"['пошив одежды', 'технологии пошива одежды']","['Быстрый отклик', 'Пенсионерам', 'Людям с инвалидностью']",Индивидуальный предприниматель СМИРНОВА СВЕТЛАНА АНАТОЛЬЕВНА,"['Молодежная,', 'Кунцевская,', 'Славянский бульвар,', 'Кунцевская']","Молодежная, Кунцевская, Славянский бульвар, Кунцевская,г Москва, ул Верейская, д 29",Москва,Работа в сфере бытовых услуг,Швея,от 1 года,любое,https://www.rabota.ru/vacancy/43877773/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,85000
Уборщик/ца гостинично-спортивного комплекса,от 45000 руб.,нет,['Быстрый отклик'],"ООО ""Антей""",['Шоссе Энтузиастов'],"Шоссе Энтузиастов,г Москва, ул 1-я Владимирская, д 10Д",Москва,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://www.rabota.ru/vacancy/43870382/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,
