Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Специалист по работе с клиентами,80000.0,,от 1 года,любое,"ООО ""Праввкус""",Москва,"Студенческая,г Москва, ул Можайский Вал, д 10",55.7425074,37.5540117,['Студенческая'],https://www.rabota.ru/vacancy/54255968/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Слесарь-сантехник,,,без опыта,любое,Тактикс-м,Москва,"Первомайская,г Москва, ул Нижняя Первомайская, д 70",55.7909939,37.8208335,['Первомайская'],https://www.rabota.ru/vacancy/53758001/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Отделочник,,,без опыта,любое,Тактикс-м,Москва,"Первомайская,г Москва, ул Нижняя Первомайская, д 70",55.7909939,37.8208335,['Первомайская'],https://www.rabota.ru/vacancy/53731120/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Электрогазосварщик,,,от 1 года,любое,Тактикс-м,Москва,"Первомайская,г Москва, ул Нижняя Первомайская, д 70",55.7909939,37.8208335,['Первомайская'],https://www.rabota.ru/vacancy/51921903/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Оператор упаковочного оборудования,78000.0,102000.0,до года,любое,Кондитерско-булочный комбинат Черемушки,Москва,"Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",55.7374729,37.3932991,"['Молодежная,', 'Сетунь']",https://www.rabota.ru/vacancy/48853158/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Мастер-производитель работ,130000.0,,от 1 года,любое,jobcart,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256451/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Сборщик заказов в ресторан,70000.0,114000.0,без опыта,любое,Тануки,Москва,"Солнцево, Боровское шоссе, Солнечная,Россия, г. Москва, м. Солнцево, ул. Богданова, 52А",55.625578,37.6063916,"['Солнцево,', 'Боровское шоссе,', 'Солнечная']",https://www.rabota.ru/vacancy/54256255/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Оператор автоматизированной линии (пекарь),79690.0,103950.0,без опыта,любое,Кондитерско-булочный комбинат Черемушки,Москва,"Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",55.7374729,37.3932991,"['Молодежная,', 'Сетунь']",https://www.rabota.ru/vacancy/48853201/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар,97110.0,129480.0,без опыта,любое,"""Теремок"" Сеть ресторанов домашнего питания",Москва,"Тульская,г Москва, метро Тульская",55.7086649,37.6228172,['Тульская'],https://www.rabota.ru/vacancy/54235062/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар,55000.0,94000.0,без опыта,любое,Шоколадница,Москва,"Окская ,г Москва, метро Окская",55.718342,37.7817628,['Окская'],https://www.rabota.ru/vacancy/53774252/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар,50000.0,94000.0,без опыта,любое,Шоколадница,Москва,"Перово,г Москва, метро Перово (Калининская)",55.7511973,37.7864823,['Перово'],https://www.rabota.ru/vacancy/53766733/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар,55000.0,94000.0,без опыта,любое,Шоколадница,Москва,"Кузьминки,г Москва, метро Кузьминки",55.698921,37.771549,['Кузьминки'],https://www.rabota.ru/vacancy/53780418/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Грузчик,50000.0,60000.0,без опыта,любое,Трезвый грузчик,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54256949/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Главный специалист по учету активов,,,от 1 года,любое,"АО УК ""Первая""",Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256586/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Уборщица (м. Лианозово),55000.0,,без опыта,любое,jobcart,Москва,"Лианозово,г Москва, Дмитровское шоссе, д 110 стр 22",55.8896809,37.5450872,['Лианозово'],https://www.rabota.ru/vacancy/54256471/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар-кассир в ресторан быстрого питания,90000.0,,без опыта,любое,Медиапартнерс,Москва,Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256353/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Ведущий специалист по пищевой безопасности,120000.0,,от 5 лет,высшее,"ООО ""Юпитер""",Москва,"Тульская,г Москва, Гамсоновский пер, д 2 стр 2",55.707689,37.6253364,['Тульская'],https://www.rabota.ru/vacancy/53852103/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
"Водитель категории CE (открытый борт, штора)",230000.0,250000.0,от 3 лет,среднее,Русавтосбыт,Москва,"Московская обл, г Мытищи, деревня Еремино, Дмитровское шоссе",56.0035788,37.5397261,,https://www.rabota.ru/vacancy/54256101/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Грузчик,55000.0,65000.0,без опыта,любое,Трезвый грузчик,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54254062/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Велокурьер (Малыгина д.7),80000.0,,без опыта,любое,"Сеть зоомагазинов ""Четыре Лапы""",Москва,"г Москва, ул Малыгина, д 7",55.8803739,37.6947203,,https://www.rabota.ru/vacancy/54253827/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
"Продавец-консультант (Тишинская площадь, 1 с.1)",65000.0,,без опыта,любое,"Сеть зоомагазинов ""Четыре Лапы""",Москва,"г Москва, Тишинская пл, д 1 стр 1",55.7691243,37.5832469,,https://www.rabota.ru/vacancy/54253712/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
"Продавец-консультант в зоомагазин (ТЦ ""Причальный"")",70000.0,,без опыта,любое,"Сеть зоомагазинов ""Четыре Лапы""",Москва,"г Москва, Причальный проезд, д 10 к 1",55.7604834,37.5172753,,https://www.rabota.ru/vacancy/54253690/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
SRE инженер\Middle+,,,от 1 года,любое,СберСтрахование,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54252904/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар (ночная смена),97110.0,129480.0,без опыта,любое,"""Теремок"" Сеть ресторанов домашнего питания",Москва,"Красногвардейская, Зябликово,г Москва, метро Зябликово",55.6122352,37.745179,"['Красногвардейская,', 'Зябликово']",https://www.rabota.ru/vacancy/54252842/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Врач-эндокринолог,120000.0,,от 3 лет,высшее,"ООО ""Скинглоу""",Москва,"Деловой центр, Шелепиха, Деловой центр, Шелепиха, Шелепиха, Тестовская, Тестовская,г Москва, Шмитовский проезд, д 39 к 1",55.7540157,37.5240652,"['Деловой центр,', 'Шелепиха,', 'Деловой центр,', 'Шелепиха,', 'Шелепиха,', 'Тестовская,', 'Тестовская']",https://www.rabota.ru/vacancy/54252808/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Холодильщик,110000.0,,от 1 года,среднее профессиональное,Ипита,Москва,"Сокол,г Москва, Волоколамское шоссе, д 2",55.8076627,37.4907875,['Сокол'],https://www.rabota.ru/vacancy/54217552/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар,97110.0,129480.0,без опыта,любое,"""Теремок"" Сеть ресторанов домашнего питания",Москва,"Юго-Восточная ,г Москва, метро Юго-Восточная",55.7050362,37.8189764,['Юго-Восточная'],https://www.rabota.ru/vacancy/54256933/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Работник торгового зала,57400.0,61200.0,без опыта,любое,Ашан (сеть гипермаркетов),Москва,"Домодедовская,г Москва, Каширское шоссе, д 61Г",55.6208703,37.714131,['Домодедовская'],https://www.rabota.ru/vacancy/54256264/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
"Специалист по ведению учета и отчетности ЗПИФ, подготовке регуляторной отчетности",,,от 3 лет,любое,СФН,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256240/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Оператор кол-центра,53000.0,,без опыта,среднее,МТС,Москва,"Лобня,Москва",55.625578,37.6063916,['Лобня'],https://www.rabota.ru/vacancy/53822037/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Java разработчик(Senior),,,от 3 лет,любое,Страховой брокер Сбербанка,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54254397/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Техник входного контроля,80000.0,,от 1 года,высшее,"АО ""КБ Решение""",Москва,"Ленинский проспект, Академическая, Воробьевы горы, Площадь Гагарина,г Москва, Ленинский пр-кт, д 51 стр 3",55.6988915,37.5670228,"['Ленинский проспект,', 'Академическая,', 'Воробьевы горы,', 'Площадь Гагарина']",https://www.rabota.ru/vacancy/54249015/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Главный инженер ЖКХ,130000.0,150000.0,от 5 лет,высшее,ДЕКРА-СТРОЙЭКСПЛУАТАЦИЯ,Москва,"Тестовская,г Москва, ул 3-я Красногвардейская, д 3",55.7569117,37.5390149,['Тестовская'],https://www.rabota.ru/vacancy/50179903/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар-сушист,100000.0,120000.0,от 1 года,любое,"КуулКлевер (МясновЪ, Отдохни)",Москва,"Царицыно, Пражская,г Москва, ул Бирюлёвская, д 38",55.5883606,37.6629228,"['Царицыно,', 'Пражская']",https://www.rabota.ru/vacancy/48570863/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
